ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Principal Name,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,,,,,,,,,,,,,,,,,,,,,,,,
01M345,M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",310100010345,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE",,Jul 1 2006,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,JUDITH DE LOS SANTOS,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M361,M361,The Children's Workshop School,310100010361,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06",Jul 1 1999,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,Maria Velez Clarke,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M363,M363,Neighborhood School,310100010363,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06",Jul 1 1999,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,Milo Novelo,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M364,M364,Earth School,310100010364,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06",Jul 1 1999,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,ALISON GAIL HAZUT,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M378,M378,School for Global Leaders,310100010378,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,09,SE",,Jul 1 2008,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,Carry Chan,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M448,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jun 4 1999,Open,M446,200 MONROE STREET,MANHATTAN,NY,10002,Robert Miller,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M450,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","09,10,11,12",Jun 5 1996,Open,M060,420 EAST 12 STREET,MANHATTAN,NY,10009,Mark Federman,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M509,M509,Marta Valle Secondary School,310100011509,DOE,General Academic,Secondary School,"08,09,10,11,12,SE","06,07,08,09,10,11,12",Jun 5 1996,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,Jayne Godlewski,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M515,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"10,11,12","10,11,12",Jun 5 1996,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,Martha Polin,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M539,M539,"New Explorations into Science, Technology and Math High School",310100011539,DOE,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12","0K,01,02,03,04,05,06,07,08,09,10,11,12",Jul 1 2000,Open,M022,111 COLUMBIA STREET,MANHATTAN,NY,10002,Dr. Olga Livanis,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
