,system_code,location_code,location_name,primary_address_line_1,LONGITUDE,LATITUDE
910,02M316,M316,"Urban Assembly School of Business for Young Women,",26 BROADWAY,-74.013303,40.705688
911,02M316,M316,"Urban Assembly School of Business for Young Women,",26 BROADWAY,-74.013303,40.705688
912,05M317,M317,Kappa II,144-176 EAST 128 STREET,-73.935461,40.805653
913,05M318,M318,Thurgood Marshall Academy Lower School,276 WEST 151ST STREET,-73.937833,40.825831
914,06M319,M319,M.S. 319 - Maria Teresa,21 JUMEL PLACE,-73.935815,40.839139
915,84M320,M320,Manhattan Charter School,100 ATTORNEY STREET,-73.984116,40.718121
916,06M321,M321,M.S. 321 - Minerva,21 JUMEL PLACE,-73.935815,40.839139
917,06M322,M322,Middle School 322,4600 BROADWAY,-73.930082,40.860951
918,06M324,M324,M.S. 324 - Patria Mirabal,21 JUMEL PLACE,-73.935815,40.839139
919,06M325,M325,P.S. 325,500 WEST 138 STREET,-73.952023,40.82051
920,06M326,M326,M.S. 326 - Writers Today & Leaders Tomorrow,401 WEST 164 STREET,-73.937263,40.836982
921,06M328,M328,Community Math & Science Prep,401 WEST 164 STREET,-73.937263,40.836982
922,84M329,M329,Harlem Link Charter School,21 WEST 111 STREET,-73.950146,40.798461
923,84M330,M330,Girls Preparatory Charter School of New York,442 EAST HOUSTON STREET,-73.97738,40.719888
924,01M332,M332,University Neighborhood Middle School,220 HENRY STREET,-73.986051,40.713362
925,03M333,M333,P.S. 333 Manhattan School for Children,154 WEST  93 STREET,-73.971011,40.791395
926,03M334,M334,The Anderson School,100 WEST  77 STREET,-73.977602,40.780536
927,84M335,M335,Harlem Village Academy East Charter School,2351 FIRST AVENUE,-73.93374,40.799265
928,84M336,M336,KIPP Infinity Charter School,625 WEST 133 STREET,-73.956814,40.819793
929,84M337,M337,NYC Autism Charter School East Harlem,433 EAST 100 STREET,-73.940919,40.785559
930,84M338,M338,WHIN Music Community,401 WEST 164 STREET,-73.937263,40.836982
931,02M340,M340,Sixth Avenue Elementary School,590 SIXTH AVENUE,-73.995534,40.739145
